id,category,answer_ko,answer_en,acceptable_answers,difficulty,image_url,image_source,photographer,license,suggested_image_query,hint_1,hint_2,hint_3,hint_4,hint_5,explanation,status
MEGA-021,대도시,오사카,Osaka,"오사카, osaka",normal,,,,,Osaka city street skyline landmark,이곳은 동아시아에 있습니다.,일본에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,상업과 음식 문화가 강한 도시입니다.,일본 간사이 지방의 대표 대도시입니다.,오사카는 일본의 도시입니다. 상업과 음식 문화가 강한 도시입니다. 일본 간사이 지방의 대표 대도시입니다.,텍스트초안
MEGA-022,대도시,로스앤젤레스,Los Angeles,"로스앤젤레스, LA, los angeles",easy,,,,,Los Angeles city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,영화 산업과 넓은 도시권이 떠오릅니다.,할리우드가 있는 미국 서부 대도시입니다.,로스앤젤레스는 미국의 도시입니다. 영화 산업과 넓은 도시권이 떠오릅니다. 할리우드가 있는 미국 서부 대도시입니다.,텍스트초안
MEGA-023,대도시,시카고,Chicago,"시카고, chicago",normal,,,,,Chicago city street skyline landmark,이곳은 북아메리카에 있습니다.,미국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,거대한 호수와 고층 건축으로 유명합니다.,미국 중서부의 대표 도시입니다.,시카고는 미국의 도시입니다. 거대한 호수와 고층 건축으로 유명합니다. 미국 중서부의 대표 도시입니다.,텍스트초안
MEGA-024,대도시,토론토,Toronto,"토론토, toronto",normal,,,,,Toronto city street skyline landmark,이곳은 북아메리카에 있습니다.,캐나다에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,다문화 도시이자 금융 중심지입니다.,CN 타워가 대표 상징입니다.,토론토는 캐나다의 도시입니다. 다문화 도시이자 금융 중심지입니다. CN 타워가 대표 상징입니다.,텍스트초안
MEGA-025,대도시,부에노스아이레스,Buenos Aires,"부에노스아이레스, buenos aires",normal,,,,,Buenos Aires city street skyline landmark,이곳은 남아메리카에 있습니다.,아르헨티나에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,유럽풍 거리와 탱고 문화가 유명합니다.,아르헨티나의 수도입니다.,부에노스아이레스는 아르헨티나의 도시입니다. 유럽풍 거리와 탱고 문화가 유명합니다. 아르헨티나의 수도입니다.,텍스트초안
MEGA-026,대도시,리우데자네이루,Rio de Janeiro,"리우데자네이루, rio de janeiro, 리우",easy,,,,,Rio de Janeiro city street skyline landmark,이곳은 남아메리카에 있습니다.,브라질에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"해변과 산, 거대한 예수상이 함께 떠오릅니다.",코파카바나와 슈거로프 산으로 유명합니다.,"리우데자네이루는 브라질의 도시입니다. 해변과 산, 거대한 예수상이 함께 떠오릅니다. 코파카바나와 슈거로프 산으로 유명합니다.",텍스트초안
MEGA-027,대도시,리마,Lima,"리마, lima",normal,,,,,Lima city street skyline landmark,이곳은 남아메리카에 있습니다.,페루에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,태평양 연안의 사막성 해안 도시입니다.,페루의 수도입니다.,리마는 페루의 도시입니다. 태평양 연안의 사막성 해안 도시입니다. 페루의 수도입니다.,텍스트초안
MEGA-028,대도시,보고타,Bogota,"보고타, bogota, bogotá",normal,,,,,Bogota city street skyline landmark,이곳은 남아메리카에 있습니다.,콜롬비아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,안데스 고원 지대에 있는 대도시입니다.,콜롬비아의 수도입니다.,보고타는 콜롬비아의 도시입니다. 안데스 고원 지대에 있는 대도시입니다. 콜롬비아의 수도입니다.,텍스트초안
MEGA-029,대도시,산티아고,Santiago,"산티아고, santiago, santiago de chile",normal,,,,,Santiago city street skyline landmark,이곳은 남아메리카에 있습니다.,칠레에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,안데스 산맥을 배경으로 한 도시입니다.,칠레의 수도입니다.,산티아고는 칠레의 도시입니다. 안데스 산맥을 배경으로 한 도시입니다. 칠레의 수도입니다.,텍스트초안
MEGA-030,대도시,마드리드,Madrid,"마드리드, madrid",easy,,,,,Madrid city street skyline landmark,이곳은 서유럽에 있습니다.,스페인에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"광장과 왕궁, 미술관이 많은 도시입니다.",스페인의 수도입니다.,"마드리드는 스페인의 도시입니다. 광장과 왕궁, 미술관이 많은 도시입니다. 스페인의 수도입니다.",텍스트초안
MEGA-031,대도시,바르셀로나,Barcelona,"바르셀로나, barcelona",easy,,,,,Barcelona city street skyline landmark,이곳은 서유럽에 있습니다.,스페인에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,독특한 건축과 지중해 해안이 유명합니다.,가우디 건축물로 유명한 스페인 도시입니다.,바르셀로나는 스페인의 도시입니다. 독특한 건축과 지중해 해안이 유명합니다. 가우디 건축물로 유명한 스페인 도시입니다.,텍스트초안
MEGA-032,대도시,로마,Rome,"로마, rome, roma",easy,,,,,Rome city street skyline landmark,이곳은 남유럽에 있습니다.,이탈리아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,고대 유적과 가톨릭 중심지가 공존합니다.,이탈리아의 수도입니다.,로마는 이탈리아의 도시입니다. 고대 유적과 가톨릭 중심지가 공존합니다. 이탈리아의 수도입니다.,텍스트초안
MEGA-033,대도시,밀라노,Milan,"밀라노, milan, milano",normal,,,,,Milan city street skyline landmark,이곳은 남유럽에 있습니다.,이탈리아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"패션과 디자인, 금융으로 유명합니다.",이탈리아 북부의 대표 경제 도시입니다.,"밀라노는 이탈리아의 도시입니다. 패션과 디자인, 금융으로 유명합니다. 이탈리아 북부의 대표 경제 도시입니다.",텍스트초안
MEGA-034,대도시,베를린,Berlin,"베를린, berlin",easy,,,,,Berlin city street skyline landmark,이곳은 서유럽에 있습니다.,독일에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,분단과 통일의 현대사가 강하게 남아 있습니다.,독일의 수도입니다.,베를린는 독일의 도시입니다. 분단과 통일의 현대사가 강하게 남아 있습니다. 독일의 수도입니다.,텍스트초안
MEGA-035,대도시,함부르크,Hamburg,"함부르크, hamburg",normal,,,,,Hamburg city street skyline landmark,이곳은 서유럽에 있습니다.,독일에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,항구와 운하가 발달한 도시입니다.,독일 북부의 대표 항구 도시입니다.,함부르크는 독일의 도시입니다. 항구와 운하가 발달한 도시입니다. 독일 북부의 대표 항구 도시입니다.,텍스트초안
MEGA-036,대도시,프랑크푸르트,Frankfurt,"프랑크푸르트, frankfurt",normal,,,,,Frankfurt city street skyline landmark,이곳은 서유럽에 있습니다.,독일에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,금융과 항공 교통의 중심지입니다.,유럽중앙은행과 고층 스카이라인으로 유명합니다.,프랑크푸르트는 독일의 도시입니다. 금융과 항공 교통의 중심지입니다. 유럽중앙은행과 고층 스카이라인으로 유명합니다.,텍스트초안
MEGA-037,대도시,암스테르담,Amsterdam,"암스테르담, amsterdam",easy,,,,,Amsterdam city street skyline landmark,이곳은 서유럽에 있습니다.,네덜란드에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,운하와 자전거 문화가 유명합니다.,네덜란드의 수도입니다.,암스테르담는 네덜란드의 도시입니다. 운하와 자전거 문화가 유명합니다. 네덜란드의 수도입니다.,텍스트초안
MEGA-038,대도시,브뤼셀,Brussels,"브뤼셀, brussels, bruxelles",normal,,,,,Brussels city street skyline landmark,이곳은 서유럽에 있습니다.,벨기에에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,유럽연합 관련 기관이 많은 도시입니다.,벨기에의 수도입니다.,브뤼셀는 벨기에의 도시입니다. 유럽연합 관련 기관이 많은 도시입니다. 벨기에의 수도입니다.,텍스트초안
MEGA-039,대도시,빈,Vienna,"빈, 비엔나, vienna, wien",easy,,,,,Vienna city street skyline landmark,이곳은 중부유럽에 있습니다.,오스트리아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,음악과 궁전 문화가 유명합니다.,오스트리아의 수도입니다.,빈는 오스트리아의 도시입니다. 음악과 궁전 문화가 유명합니다. 오스트리아의 수도입니다.,텍스트초안
MEGA-040,대도시,취리히,Zurich,"취리히, zurich, zürich",normal,,,,,Zurich city street skyline landmark,이곳은 중부유럽에 있습니다.,스위스에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,금융과 호수 풍경이 유명합니다.,스위스의 대표 경제 도시입니다.,취리히는 스위스의 도시입니다. 금융과 호수 풍경이 유명합니다. 스위스의 대표 경제 도시입니다.,텍스트초안
MEGA-041,대도시,제네바,Geneva,"제네바, geneva",normal,,,,,Geneva city street skyline landmark,이곳은 중부유럽에 있습니다.,스위스에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,국제기구와 호수 풍경이 떠오릅니다.,레만호 주변의 국제 도시입니다.,제네바는 스위스의 도시입니다. 국제기구와 호수 풍경이 떠오릅니다. 레만호 주변의 국제 도시입니다.,텍스트초안
MEGA-042,대도시,스톡홀름,Stockholm,"스톡홀름, stockholm",normal,,,,,Stockholm city street skyline landmark,이곳은 북유럽에 있습니다.,스웨덴에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,섬과 물길 위에 발달한 도시입니다.,스웨덴의 수도입니다.,스톡홀름는 스웨덴의 도시입니다. 섬과 물길 위에 발달한 도시입니다. 스웨덴의 수도입니다.,텍스트초안
MEGA-043,대도시,코펜하겐,Copenhagen,"코펜하겐, copenhagen, københavn",normal,,,,,Copenhagen city street skyline landmark,이곳은 북유럽에 있습니다.,덴마크에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,자전거와 항구 문화가 유명합니다.,덴마크의 수도입니다.,코펜하겐는 덴마크의 도시입니다. 자전거와 항구 문화가 유명합니다. 덴마크의 수도입니다.,텍스트초안
MEGA-044,대도시,오슬로,Oslo,"오슬로, oslo",normal,,,,,Oslo city street skyline landmark,이곳은 북유럽에 있습니다.,노르웨이에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,피오르드와 가까운 북유럽 도시입니다.,노르웨이의 수도입니다.,오슬로는 노르웨이의 도시입니다. 피오르드와 가까운 북유럽 도시입니다. 노르웨이의 수도입니다.,텍스트초안
MEGA-045,대도시,헬싱키,Helsinki,"헬싱키, helsinki",normal,,,,,Helsinki city street skyline landmark,이곳은 북유럽에 있습니다.,핀란드에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,발트해 연안의 차분한 도시 경관이 특징입니다.,핀란드의 수도입니다.,헬싱키는 핀란드의 도시입니다. 발트해 연안의 차분한 도시 경관이 특징입니다. 핀란드의 수도입니다.,텍스트초안
MEGA-046,대도시,리스본,Lisbon,"리스본, lisbon, lisboa",easy,,,,,Lisbon city street skyline landmark,이곳은 서유럽에 있습니다.,포르투갈에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,"언덕, 트램, 대서양 항구 이미지가 강합니다.",포르투갈의 수도입니다.,"리스본는 포르투갈의 도시입니다. 언덕, 트램, 대서양 항구 이미지가 강합니다. 포르투갈의 수도입니다.",텍스트초안
MEGA-047,대도시,아테네,Athens,"아테네, athens",easy,,,,,Athens city street skyline landmark,이곳은 남유럽에 있습니다.,그리스에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,고대 유적이 도시 중심부에 남아 있습니다.,그리스의 수도입니다.,아테네는 그리스의 도시입니다. 고대 유적이 도시 중심부에 남아 있습니다. 그리스의 수도입니다.,텍스트초안
MEGA-048,대도시,두바이,Dubai,"두바이, dubai",easy,,,,,Dubai city street skyline landmark,이곳은 중동에 있습니다.,아랍에미리트에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,초고층 건물과 사막 도시 이미지가 강합니다.,부르즈 칼리파가 있는 도시입니다.,두바이는 아랍에미리트의 도시입니다. 초고층 건물과 사막 도시 이미지가 강합니다. 부르즈 칼리파가 있는 도시입니다.,텍스트초안
MEGA-049,대도시,아부다비,Abu Dhabi,"아부다비, abu dhabi",normal,,,,,Abu Dhabi city street skyline landmark,이곳은 중동에 있습니다.,아랍에미리트에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,현대 건축과 해안 도시 경관이 특징입니다.,아랍에미리트의 수도입니다.,아부다비는 아랍에미리트의 도시입니다. 현대 건축과 해안 도시 경관이 특징입니다. 아랍에미리트의 수도입니다.,텍스트초안
MEGA-050,대도시,도하,Doha,"도하, doha",normal,,,,,Doha city street skyline landmark,이곳은 중동에 있습니다.,카타르에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,걸프 해안의 현대적 스카이라인이 유명합니다.,카타르의 수도입니다.,도하는 카타르의 도시입니다. 걸프 해안의 현대적 스카이라인이 유명합니다. 카타르의 수도입니다.,텍스트초안
MEGA-051,대도시,리야드,Riyadh,"리야드, riyadh",normal,,,,,Riyadh city street skyline landmark,이곳은 중동에 있습니다.,사우디아라비아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,사막 내륙의 대도시입니다.,사우디아라비아의 수도입니다.,리야드는 사우디아라비아의 도시입니다. 사막 내륙의 대도시입니다. 사우디아라비아의 수도입니다.,텍스트초안
MEGA-052,대도시,제다,Jeddah,"제다, jeddah",hard,,,,,Jeddah city street skyline landmark,이곳은 중동에 있습니다.,사우디아라비아에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,홍해 연안의 항구 도시입니다.,메카 순례 관문 역할을 하는 도시입니다.,제다는 사우디아라비아의 도시입니다. 홍해 연안의 항구 도시입니다. 메카 순례 관문 역할을 하는 도시입니다.,텍스트초안
MEGA-053,대도시,예루살렘,Jerusalem,"예루살렘, jerusalem",normal,,,,,Jerusalem city street skyline landmark,이곳은 중동에 있습니다.,이스라엘/팔레스타인 지역에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,세 종교의 성지가 모여 있습니다.,성벽과 오래된 구시가지가 유명합니다.,예루살렘는 이스라엘/팔레스타인 지역의 도시입니다. 세 종교의 성지가 모여 있습니다. 성벽과 오래된 구시가지가 유명합니다.,텍스트초안
MEGA-054,대도시,텔아비브,Tel Aviv,"텔아비브, tel aviv",hard,,,,,Tel Aviv city street skyline landmark,이곳은 중동에 있습니다.,이스라엘에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,지중해 해변과 현대 도시 문화가 강합니다.,이스라엘의 대표 경제·문화 도시입니다.,텔아비브는 이스라엘의 도시입니다. 지중해 해변과 현대 도시 문화가 강합니다. 이스라엘의 대표 경제·문화 도시입니다.,텍스트초안
MEGA-055,대도시,테헤란,Tehran,"테헤란, tehran",normal,,,,,Tehran city street skyline landmark,이곳은 중동에 있습니다.,이란에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,산맥을 배경으로 한 대도시입니다.,이란의 수도입니다.,테헤란는 이란의 도시입니다. 산맥을 배경으로 한 대도시입니다. 이란의 수도입니다.,텍스트초안
MEGA-056,대도시,바그다드,Baghdad,"바그다드, baghdad",hard,,,,,Baghdad city street skyline landmark,이곳은 중동에 있습니다.,이라크에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,티그리스강 주변의 오래된 도시입니다.,이라크의 수도입니다.,바그다드는 이라크의 도시입니다. 티그리스강 주변의 오래된 도시입니다. 이라크의 수도입니다.,텍스트초안
MEGA-057,대도시,암만,Amman,"암만, amman",hard,,,,,Amman city street skyline landmark,이곳은 중동에 있습니다.,요르단에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,언덕 위에 펼쳐진 중동 도시 경관이 특징입니다.,요르단의 수도입니다.,암만는 요르단의 도시입니다. 언덕 위에 펼쳐진 중동 도시 경관이 특징입니다. 요르단의 수도입니다.,텍스트초안
MEGA-058,대도시,베이루트,Beirut,"베이루트, beirut",hard,,,,,Beirut city street skyline landmark,이곳은 중동에 있습니다.,레바논에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,지중해 연안의 항구 도시입니다.,레바논의 수도입니다.,베이루트는 레바논의 도시입니다. 지중해 연안의 항구 도시입니다. 레바논의 수도입니다.,텍스트초안
MEGA-059,대도시,케이프타운,Cape Town,"케이프타운, cape town",normal,,,,,Cape Town city street skyline landmark,이곳은 아프리카 남부에 있습니다.,남아프리카공화국에 있는 도시입니다.,세계적으로 인지도가 높거나 인구·경제·문화 기능이 큰 대도시입니다.,바다와 평평한 산이 함께 보이는 도시입니다.,테이블마운틴으로 유명합니다.,케이프타운는 남아프리카공화국의 도시입니다. 바다와 평평한 산이 함께 보이는 도시입니다. 테이블마운틴으로 유명합니다.,텍스트초안
