question,choice1,choice2,choice3,choice4,answer,category,difficulty
"테니스에서 0점을 뜻하는 용어는?","러브","듀스","에이스","폴트",1,"스포츠",2
"미국의 수도는?","뉴욕","워싱턴 D.C.","로스앤젤레스","시카고",2,"지리",1
"물이 끓는 온도는 섭씨 몇 도인가? (1기압)","50도","100도","120도","90도",2,"과학",1
"고구려를 건국한 인물은?","주몽","온조","박혁거세","김수로",1,"역사",2
"'변신'을 쓴 작가는?","헤세","니체","카프카","릴케",3,"문학",3
"원의 둘레를 구할 때 쓰는 기호는?","알파","파이","베타","시그마",2,"수학",1
"김치의 주재료는 무엇인가?","오이","무","배추","콩",3,"상식",1
"발레 '백조의 호수'를 작곡한 사람은?","바흐","모차르트","차이콥스키","쇼팽",3,"예술",3
"올림픽 오륜기의 고리는 몇 개인가?","4개","5개","6개","7개",2,"스포츠",1
"일본의 수도는?","오사카","교토","나고야","도쿄",4,"지리",1
"DNA의 이중나선 구조를 밝힌 과학자는?","다윈","멘델","파스퇴르","왓슨과 크릭",4,"과학",3
"고려를 건국한 인물은?","견훤","왕건","궁예","이성계",2,"역사",2
"'데미안'을 쓴 작가는?","괴테","토마스 만","헤르만 헤세","카프카",3,"문학",2
"15의 약수가 아닌 것은?","1","3","5","6",4,"수학",2
"태극기의 가운데 문양을 무엇이라 하는가?","사괘","건곤","음양","태극",4,"상식",2
"피아노는 어떤 악기 분류에 속하는가?","현악기","관악기","타건악기","금관악기",3,"예술",2
"수영에서 자유형은 주로 어떤 영법을 사용하는가?","크롤","배영","평영","접영",1,"스포츠",2
"아프리카 대륙에서 가장 큰 나라는?","이집트","알제리","수단","리비아",2,"지리",3
"인체의 뼈는 성인 기준 약 몇 개인가?","106개","306개","206개","406개",3,"과학",2
"병자호란은 어느 나라의 침입인가?","일본","청나라","명나라","몽골",2,"역사",3
"'파우스트'를 쓴 독일 작가는?","실러","괴테","하이네","브레히트",2,"문학",3
"소수(prime)의 정의로 옳은 것은?","2로 나뉘는 수","약수가 3개인 수","짝수인 수","1과 자기 자신만 약수로 갖는 1보다 큰 수",4,"수학",2
"우리나라 최초의 한글 소설은?","춘향전","심청전","홍길동전","구운몽",3,"상식",2
"'절규'를 그린 노르웨이 화가는?","클림트","마티스","달리","뭉크",4,"예술",3
"골프에서 기준 타수를 뜻하는 용어는?","버디","보기","파","이글",3,"스포츠",2
"러시아의 수도는?","상트페테르부르크","민스크","키예프","모스크바",4,"지리",1
"지구에서 가장 가까운 항성은?","태양","시리우스","북극성","프록시마 센타우리",1,"과학",2
"신라의 삼국통일을 이룬 왕은?","문무왕","법흥왕","진흥왕","무열왕",1,"역사",3
"'동물농장'을 쓴 작가는?","조지 오웰","올더스 헉슬리","H.G. 웰스","J.D. 샐린저",1,"문학",2
"짝수가 아닌 것은?","2","4","7","8",3,"수학",1
"소방차의 색깔은 주로 무엇인가?","노랑","파랑","빨강","초록",3,"상식",1
"'최후의 만찬'을 그린 화가는?","라파엘로","다빈치","미켈란젤로","보티첼리",2,"예술",2
"배드민턴에서 사용하는 공을 무엇이라 하는가?","서브","셔틀콕","네트","라켓",2,"스포츠",1
"세계에서 인구가 가장 많은 나라 중 하나로, 만리장성이 있는 나라는?","인도","러시아","일본","중국",4,"지리",1
"혈액형 중 모든 혈액형에게 줄 수 있는 것은?","O형","B형","AB형","A형",1,"과학",2
"대한민국 정부가 수립된 해는?","1945년","1953년","1950년","1948년",4,"역사",2
"'위대한 개츠비'를 쓴 작가는?","피츠제럴드","헤밍웨이","포크너","스타인벡",1,"문학",2
"정사각형의 넓이를 구하는 방법은?","한 변 × 한 변","한 변 × 4","한 변 × 2","한 변 + 한 변",1,"수학",1
"응급 전화번호로 소방·구급에 해당하는 것은?","112","119","114","120",2,"상식",1
"'게르니카'를 그린 화가는?","미로","피카소","달리","고야",2,"예술",3
"탁구에서 한 세트는 보통 몇 점을 먼저 얻으면 이기는가?","7점","15점","11점","21점",3,"스포츠",2
"세계에서 가장 긴 산맥은?","히말라야","알프스","로키","안데스",4,"지리",3
"번개가 친 후 천둥소리가 늦게 들리는 이유는?","빛보다 소리가 느려서","소리보다 빛이 느려서","거리가 멀어서만","바람 때문에",1,"과학",2
"조선시대 신분제에서 가장 높은 계층은?","중인","양반","상민","천민",2,"역사",1
"'서유기'에 등장하는 원숭이 캐릭터는?","손오공","사오정","저팔계","삼장법사",1,"문학",2
"1000에서 250을 빼면?","650","700","800","750",4,"수학",1
"한국의 대표 명절로 음력 1월 1일은?","설날","추석","단오","한식",1,"상식",1
"악기 중 건반이 없는 것은?","하프시코드","오르간","피아노","바이올린",4,"예술",2
"권투 경기에서 한 라운드는 보통 몇 분인가?","3분","2분","4분","5분",1,"스포츠",2
"프랑스의 수도는?","파리","리옹","마르세유","니스",1,"지리",1
"광합성이 일어나는 식물 세포의 기관은?","리보솜","미토콘드리아","엽록체","핵",3,"과학",2
"세계 2차 대전이 끝난 해는?","1939년","1943년","1945년","1950년",3,"역사",1
"'주홍글씨'를 쓴 미국 작가는?","멜빌","포","호손","트웨인",3,"문학",3
"소수(prime number)가 아닌 것은?","2","3","4","5",3,"수학",2
"우리나라에서 가장 큰 섬은?","제주도","강화도","울릉도","거제도",1,"상식",1
"'봄'을 포함한 사계 협주곡을 작곡한 사람은?","헨델","바흐","비발디","텔레만",3,"예술",3
"양궁에서 과녁의 정중앙을 맞히면 몇 점인가?","12점","9점","8점","10점",4,"스포츠",2
"세계에서 가장 깊은 바다 지점이 있는 해구는?","일본 해구","자바 해구","마리아나 해구","페루 해구",3,"지리",3
"인간의 정상 체온은 약 섭씨 몇 도인가?","36.5도","39도","34도","41도",1,"과학",1
"이순신 장군이 활약한 전쟁은?","임진왜란","병자호란","정묘호란","귀주대첩",1,"역사",1
"한강이 흐르는 대한민국의 도시는?","서울","부산","광주","대전",1,"지리",1
"세계에서 가장 넓은 나라는?","중국","미국","러시아","캐나다",3,"지리",2
"공기 중에 가장 많이 포함된 기체는?","산소","수소","이산화탄소","질소",4,"과학",2
"프랑스 혁명이 시작된 해는?","1776년","1804년","1815년","1789년",4,"역사",2
"'앵무새 죽이기'를 쓴 작가는?","하퍼 리","마크 트웨인","존 스타인벡","윌리엄 포크너",1,"문학",3
"이등변삼각형에서 크기가 같은 각은 몇 개인가?","0개","1개","3개","2개",4,"수학",1
"우리나라의 정식 국가 명칭은?","조선","대한민국","고려","한국공화국",2,"상식",1
"'별이 빛나는 밤'을 그린 화가는?","모네","고흐","세잔","르누아르",2,"예술",2
"축구에서 골키퍼를 제외하고 손을 쓸 수 없는 것이 원칙인가?","심판 판단","예","경우에 따라","아니오",2,"스포츠",1
"독일의 수도는?","뮌헨","베를린","프랑크푸르트","함부르크",2,"지리",1
"얼음이 물로 변하는 현상을 무엇이라 하는가?","증발","응결","융해","승화",3,"과학",2
"세계 1차 대전이 시작된 해는?","1905년","1918년","1914년","1939년",3,"역사",2
"'분노의 포도'를 쓴 작가는?","헤밍웨이","드라이저","피츠제럴드","스타인벡",4,"문학",3
"두 수의 최대공약수가 1일 때 두 수의 관계를 무엇이라 하는가?","약수","배수","서로소","제곱수",3,"수학",3
"태권도는 어느 나라에서 유래한 무술인가?","한국","중국","일본","태국",1,"상식",1
"'생각하는 사람' 조각상을 만든 예술가는?","로댕","미켈란젤로","도나텔로","베르니니",1,"예술",1
"피겨스케이팅에서 회전 점프의 대표적 기술이 아닌 것은?","스매시","루프","악셀","살코",1,"스포츠",3
"스페인의 수도는?","바르셀로나","발렌시아","마드리드","세비야",3,"지리",1
"소리를 들을 수 있는 인체 기관은?","눈","혀","귀","코",3,"과학",1
"우리나라 최초의 국가로 알려진 나라는?","고조선","신라","백제","고구려",1,"역사",2
"'젊은 베르테르의 슬픔'을 쓴 작가는?","실러","괴테","하이네","릴케",2,"문학",1
"직각의 크기는 몇 도인가?","45도","90도","60도","180도",2,"수학",1
"한국의 전통 의상을 무엇이라 하는가?","아오자이","한복","치파오","기모노",2,"상식",1
"오페라 '피가로의 결혼'을 작곡한 사람은?","로시니","베르디","모차르트","푸치니",3,"예술",3
"배구에서 한 팀의 코트 위 선수는 몇 명인가?","5명","8명","7명","6명",4,"스포츠",2
"세계에서 가장 큰 섬은?","마다가스카르","그린란드","보르네오","뉴기니",2,"지리",3
"철이 녹스는 현상은 어떤 반응인가?","산화","연소","중화","환원",1,"과학",2
"미국 독립선언이 발표된 해는?","1770년","1789년","1783년","1776년",4,"역사",2
"'폭풍의 언덕'을 쓴 작가는?","제인 오스틴","에밀리 브론테","샬럿 브론테","조지 엘리엇",2,"문학",3
"짝수와 홀수를 더하면 결과는 항상?","짝수","0","홀수","알 수 없음",3,"수학",2
"세계에서 가장 인구가 적은 대륙은?","오세아니아","남극","유럽","남아메리카",2,"상식",2
"발레에서 발끝으로 서는 동작을 무엇이라 하는가?","포인트","플리에","아라베스크","점프",1,"예술",2
"수영 영법 중 물속에서 얼굴을 위로 향하는 것은?","자유형","평영","접영","배영",4,"스포츠",2
"영국의 수도는?","맨체스터","런던","버밍엄","리버풀",2,"지리",1
"인체에서 혈액을 온몸으로 보내는 기관은?","심장","간","폐","신장",1,"과학",1
"발해를 건국한 인물은?","대조영","김유신","을지문덕","연개소문",1,"역사",3
"'노트르담의 꼽추'를 쓴 프랑스 작가는?","빅토르 위고","발자크","플로베르","스탕달",1,"문학",2
"5! (5팩토리얼)의 값은?","20","240","60","120",4,"수학",2
"세계에서 가장 긴 만리장성이 있는 나라는?","몽골","중국","인도","러시아",2,"상식",1
"'다비드' 조각상을 만든 예술가는?","로댕","미켈란젤로","도나텔로","베르니니",2,"예술",3
"육상에서 가장 짧은 단거리 종목은?","200m","100m","400m","800m",2,"스포츠",1
"캐나다의 수도는?","토론토","몬트리올","밴쿠버","오타와",4,"지리",2
"낮과 밤이 생기는 이유는?","지구의 공전","지구의 자전","달의 공전","태양의 자전",2,"과학",2
"세계 최초의 금속활자로 인쇄된 책 '직지'는 어느 나라 것인가?","중국","일본","한국","독일",3,"역사",1
"'이방인'을 쓴 프랑스 작가는?","사르트르","알베르 카뮈","프루스트","말로",2,"문학",1
"원의 넓이를 구하는 공식에서 반지름은 몇 번 곱하는가?","1번","4번","3번","2번(제곱)",4,"수학",2
"신용카드가 발명되기 전 물물교환에서 쓰인 매개는?","금","조개","화폐","이 모두 해당",4,"상식",2
"'키스'를 그린 오스트리아 화가는?","코코슈카","클림트","실레","마카르트",2,"예술",3
"골프에서 한 코스는 보통 몇 홀로 구성되는가?","9홀","18홀","12홀","24홀",2,"스포츠",1
"오스트레일리아의 수도는?","시드니","멜버른","브리즈번","캔버라",4,"지리",3
"인체에서 음식을 소화하는 주요 기관은?","심장","폐","신장","위",4,"과학",1
"백제의 마지막 왕은?","근초고왕","무왕","성왕","의자왕",4,"역사",3
"'싯다르타'를 쓴 작가는?","괴테","토마스 만","헤르만 헤세","카프카",3,"문학",1
"정수 중 0보다 작은 수를 무엇이라 하는가?","음수","양수","자연수","분수",1,"수학",1
"태극기에 그려진 사괘의 개수는?","8개","2개","6개","4개",4,"상식",2
"악기 '첼로'는 어떤 악기군에 속하는가?","관악기","건반악기","타악기","현악기",4,"예술",2
"복싱에서 상대를 쓰러뜨려 이기는 것을 무엇이라 하는가?","잽","파울","KO","클린치",3,"스포츠",1
"브라질의 수도는?","브라질리아","상파울루","리우데자네이루","살바도르",1,"지리",2
"인간의 유전 정보를 담고 있는 물질은?","단백질","DNA","지방","탄수화물",2,"과학",2
"조선왕조실록은 어느 나라의 기록물인가?","중국","일본","한국","베트남",3,"역사",1
"'허클베리 핀의 모험'을 쓴 작가는?","마크 트웨인","잭 런던","오 헨리","호손",1,"문학",2
"정육면체의 면은 몇 개인가?","4개","6개","8개","12개",2,"수학",1
"우리나라의 국보 1호는 무엇인가?","불국사","숭례문","경복궁","석굴암",2,"상식",2
"'아비뇽의 여인들'을 그린 화가는?","브라크","마티스","피카소","달리",3,"예술",1
"체조에서 남자 종목이 아닌 것은?","안마","링","마루","평균대",4,"스포츠",3
"인도의 수도는?","뉴델리","뭄바이","콜카타","방갈로르",1,"지리",2
"소리의 높낮이를 결정하는 것은?","음속","진폭","진동수","파장의 색",3,"과학",2
"고려청자로 유명한 우리나라의 도자기 색은?","백색","비색(청록색)","흑색","적색",2,"역사",2
"'파리대왕'을 쓴 작가는?","윌리엄 골딩","조지 오웰","J.G. 발라드","올더스 헉슬리",1,"문학",3
"삼각형의 넓이 공식은 밑변 × 높이 ÷ 몇인가?","4","2","3","1",2,"수학",1
"세계에서 가장 넓은 사막인 사하라 사막이 있는 대륙은?","아프리카","유럽","남아메리카","아시아",1,"상식",1
"인상주의 화가로 '수련' 연작을 남긴 사람은?","시슬레","마네","드가","모네",4,"예술",3
"핸드볼에서 한 팀의 코트 위 선수는 몇 명인가?","5명","8명","6명","7명",4,"스포츠",2
"이집트의 수도는?","룩소르","카이로","기자","알렉산드리아",2,"지리",2
"인체에서 노폐물을 걸러 소변을 만드는 기관은?","간","신장","폐","위",2,"과학",2
"세종대왕이 만든 과학 기구로 시간을 재는 물시계는?","자격루","측우기","해시계","혼천의",1,"역사",3
"'1984'를 쓴 작가는?","올더스 헉슬리","레이 브래드버리","조지 오웰","아이작 아시모프",3,"문학",2
"1000000은 10의 몇 제곱인가?","6","5","4","7",1,"수학",2
"우리나라 애국가의 후렴에 나오는 산은?","한라산","백두산","금강산","무궁화 삼천리",4,"상식",2
"'만종'을 그린 프랑스 화가는?","밀레","쿠르베","코로","도미에",1,"예술",3
"컬링에서 사용하는 둥근 돌을 무엇이라 하는가?","디스크","퍽","셔틀","스톤",4,"스포츠",2
"터키의 최대 도시로, 두 대륙에 걸친 도시는?","부르사","이스탄불","이즈미르","앙카라",2,"지리",2
"물질의 세 가지 상태가 아닌 것은?","전기","액체","고체","기체",1,"과학",1
"한국전쟁이 발발한 해는?","1950년","1948년","1953년","1945년",1,"역사",1
"'죽은 시인의 사회'의 배경이 된 문학 사조와 관련 없는 시인은?","휘트먼","뉴턴","셰익스피어","소로",2,"문학",3
"평행사변형에서 마주 보는 변의 관계는?","길이가 다르다","수직이다","교차한다","길이가 같다",4,"수학",2
"우리나라에서 가장 높은 산은?","태백산","설악산","지리산","한라산",4,"상식",1
"'절규'와 함께 표현주의를 대표하는 색채의 화가 마티스는 어느 나라 사람인가?","독일","네덜란드","스페인","프랑스",4,"예술",3
"유도에서 상대를 메쳐 완전히 성공하면 얻는 점수 판정은?","한판","절반","반칙","유효",1,"스포츠",2
"그리스의 수도는?","테살로니키","스파르타","아테네","코린토스",3,"지리",2
"빛이 프리즘을 통과하면 나타나는 현상은?","분산","반사","흡수","소멸",1,"과학",2
"고구려의 전성기를 이끈 왕으로 광개토대왕의 아들은?","고국천왕","소수림왕","장수왕","동천왕",3,"역사",1
"'셜록 홈즈' 시리즈를 쓴 작가는?","G.K. 체스터턴","애거사 크리스티","에드거 앨런 포","코난 도일",4,"문학",2
"홀수 3개를 더하면 결과는?","0","항상 짝수","항상 홀수","알 수 없음",3,"수학",2
"신호등의 세 가지 색이 아닌 것은?","빨강","파랑","노랑","초록",2,"상식",1
"음악에서 빠르기를 나타내는 이탈리아어 '아다지오'의 뜻은?","빠르게","보통으로","느리게","점점 세게",3,"예술",3
"마라톤의 유래가 된 전투가 벌어진 나라는?","그리스","이집트","터키","이탈리아",1,"스포츠",3
"태국의 수도는?","파타야","방콕","푸껫","치앙마이",2,"지리",2
"지진의 규모를 나타내는 척도는?","섭씨","리히터","데시벨","칼로리",2,"과학",2
"임진왜란 때 거북선을 이끈 장군은?","권율","김시민","이순신","곽재우",3,"역사",1
"페루의 고대 잉카 유적지로 유명한 곳은?","마추픽추","앙코르와트","타지마할","피라미드",1,"지리",1
"세계에서 가장 높은 폭포는?","나이아가라 폭포","빅토리아 폭포","이과수 폭포","앙헬 폭포",4,"지리",1
"소리가 전달되지 않는 환경은?","진공","물속","공기 중","철판",1,"과학",1
"조선을 침략한 병자호란은 어느 왕 때 일어났는가?","선조","효종","광해군","인조",4,"역사",3
"'적과 흑'을 쓴 프랑스 작가는?","스탕달","발자크","졸라","플로베르",1,"문학",3
"삼각형의 세 변의 길이가 각각 다른 삼각형을 무엇이라 하는가?","직각삼각형","정삼각형","이등변삼각형","부등변삼각형",4,"수학",2
"한국의 전통 발효 음식으로 콩으로 만든 것은?","김치","식초","젓갈","된장",4,"상식",1
"'해돋이 인상'으로 인상주의라는 이름의 유래가 된 화가는?","드가","마네","모네","피사로",3,"예술",3
"농구에서 3점 슛 라인 밖에서 넣으면 몇 점인가?","1점","3점","2점","4점",2,"스포츠",1
"두 대륙에 걸쳐 있는 나라는?","프랑스","브라질","러시아","인도",3,"지리",2
"인체에서 뇌가 위치한 부위는?","가슴","복부","다리","머리",4,"과학",1
"고려 시대 몽골의 침입에 맞서 강화도로 천도한 무신 정권의 인물은?","김부식","묘청","최우","서희",3,"역사",3
"'백년의 고독'을 쓴 작가는?","마르케스","보르헤스","네루다","코르타사르",1,"문학",1
"삼각형에서 가장 긴 변의 맞은편에 있는 각은?","알 수 없다","가장 작다","항상 직각","가장 크다",4,"수학",2
"우리나라 최초의 여왕은?","진덕여왕","진성여왕","정희왕후","선덕여왕",4,"상식",2
"교향곡 '운명'을 작곡한 사람은?","베토벤","모차르트","브람스","슈베르트",1,"예술",2
"올림픽에서 개최되지 않는 계절은?","봄","여름","여름과 겨울","겨울",1,"스포츠",1
"북유럽에 속하지 않는 나라는?","노르웨이","스웨덴","스페인","핀란드",3,"지리",2
"식물의 뿌리가 흡수하는 주요 물질은?","이산화탄소","산소","단백질","물과 무기양분",4,"과학",2
"세계 최초의 목판 인쇄물 '무구정광대다라니경'이 발견된 곳은?","해인사","불국사 석가탑","경복궁","석굴암",2,"역사",3
"'오만과 편견'을 쓴 작가는?","조지 엘리엇","제인 오스틴","에밀리 브론테","버지니아 울프",2,"문학",2
"정오각형의 내각의 합은 몇 도인가?","360도","720도","540도","900도",3,"수학",3
"우리나라에서 가장 긴 강은?","한강","낙동강","금강","섬진강",2,"상식",2
"'해방된 프로메테우스'와 관련된 예술 분야는?","조각","건축","시(詩)","음악",3,"예술",1
"태권도에서 검은 띠는 무엇을 상징하는가?","유단자","중급","초보","심판",1,"스포츠",1
"세계에서 가장 큰 호수는?","카스피해","슈피리어호","빅토리아호","바이칼호",1,"지리",3
"인체의 체온을 유지하는 데 관여하는 기관은?","손톱","뼈","피부","치아",3,"과학",2
"조선의 마지막 왕(황제)은?","순종","고종","철종","헌종",1,"역사",2
"'파브르 곤충기'를 쓴 사람은?","파브르","다윈","린네","멘델",1,"문학",2
"분수 2분의 1을 소수로 나타내면?","0.5","0.2","0.25","0.1",1,"수학",1
"우리나라의 3대 명절이 아닌 것은?","추석","크리스마스","단오","설날",2,"상식",1
"'봄의 제전'을 작곡한 작곡가는?","프로코피예프","드뷔시","라벨","스트라빈스키",4,"예술",1
"테니스 4대 메이저 대회에 속하지 않는 것은?","챔피언스리그","US 오픈","프랑스 오픈","윔블던",1,"스포츠",2
"세계에서 가장 작은 나라는?","모나코","바티칸","산마리노","리히텐슈타인",2,"지리",1
"물이 얼면 부피는 어떻게 되는가?","줄어든다","늘어난다","사라진다","변화 없다",2,"과학",2
"임진왜란 당시 조선을 도운 나라는?","청나라","명나라","몽골","러시아",2,"역사",2
"'변신 이야기'를 쓴 고대 로마 시인은?","호메로스","오비디우스","베르길리우스","호라티우스",2,"문학",1
"직사각형의 둘레를 구하려면 무엇을 더해야 하는가?","넓이","네 변의 길이","두 대각선","한 변",2,"수학",1
"태극기를 만든 인물로 알려진 사람은?","박영효","김옥균","서재필","유길준",1,"상식",3
"'천개의 고원'과 관련 없는 예술 형식은?","요리","회화","음악","조각",1,"예술",1
"수영에서 가장 빠른 영법으로 알려진 것은?","접영","배영","자유형","평영",3,"스포츠",2
"아시아에서 가장 큰 나라는?","인도","카자흐스탄","러시아","중국",3,"지리",1
"소금물에서 물을 증발시키면 남는 것은?","소금","공기","물","아무것도 없음",1,"과학",1
"세종대왕 때 만들어진 강수량 측정 기구는?","해시계","자격루","측우기","혼천의",3,"역사",2
"'제인 에어'를 쓴 작가는?","에밀리 브론테","샬럿 브론테","제인 오스틴","조지 엘리엇",2,"문학",3
"100의 제곱근은?","10","5","20","50",1,"수학",1
"우리나라 최초의 근대식 병원은?","세브란스","제중원","광혜원","대한의원",3,"상식",3
"'백조의 호수'는 어떤 예술 장르인가?","오페라","연극","발레","뮤지컬",3,"예술",2
"골프에서 한 번에 홀인하는 것을 무엇이라 하는가?","버디","이글","알바트로스","홀인원",4,"스포츠",2
"세계에서 가장 큰 반도는?","발칸 반도","이베리아 반도","한반도","아라비아 반도",4,"지리",2
"인체에서 소리를 뇌로 전달하는 신경은?","후신경","시신경","미각신경","청신경",4,"과학",1
"조선의 실학자로 '목민심서'를 쓴 사람은?","박지원","유형원","이익","정약용",4,"역사",3
"'파리의 노트르담'과 함께 빅토르 위고가 쓴 대표작은?","레 미제라블","보바리 부인","고리오 영감","적과 흑",1,"문학",2
"각뿔에서 밑면이 삼각형이면 무슨 각뿔인가?","오각뿔","사각뿔","삼각뿔","원뿔",3,"수학",1
"우리나라의 화폐에 그려진 인물이 아닌 사람은?","김구","이순신","이이","세종대왕",1,"상식",2
"현악 4중주에서 사용되지 않는 악기는?","비올라","바이올린","첼로","플루트",4,"예술",1
"축구 월드컵은 몇 년마다 열리는가?","4년","3년","6년","2년",1,"스포츠",1
"세계 지도에서 가장 큰 대양에 접하지 않는 나라는?","일본","칠레","스위스","호주",3,"지리",2
"빛이 없어도 자라는 곰팡이의 영양 섭취 방식은?","광합성","기생/부생","화학합성","증산작용",2,"과학",2
"신라의 화랑도와 관련된 계율 '세속오계'를 만든 승려는?","원광","자장","원효","의상",1,"역사",3
"'죄와 벌'과 같은 작가가 쓴 또 다른 작품은?","외투","안나 카레니나","전쟁과 평화","카라마조프가의 형제들",4,"문학",2
"평행한 두 직선이 한 직선과 만날 때 같은 위치에 생기는 각은?","동위각","맞꼭지각","보각","여각",1,"수학",3
"우리나라 국기의 이름은?","성조기","일장기","태극기","오성홍기",3,"상식",1
"'전람회의 그림'을 작곡한 러시아 작곡가는?","보로딘","무소륵스키","라흐마니노프","차이콥스키",2,"예술",3
"펜싱에서 사용하는 무기가 아닌 것은?","플뢰레","에페","라켓","사브르",3,"스포츠",3
"세계에서 가장 남쪽에 있는 대륙은?","아프리카","남극","남아메리카","오세아니아",2,"지리",1
"인체에서 뼈와 뼈가 만나는 부위를 무엇이라 하는가?","인대","연골","관절","근육",3,"과학",1
"고려의 수도였던 곳은?","평양","경주","개경(개성)","한양",3,"역사",2
"'수레바퀴 아래서'를 쓴 작가는?","헤르만 헤세","토마스 만","괴테","실러",1,"문학",2
"한 점에서 그은 두 반직선이 이루는 도형을 무엇이라 하는가?","면","선분","원","각",4,"수학",1
"우리나라에서 가장 오래된 목조 건축물이 있는 사찰은?","부석사","해인사","불국사","통도사",1,"상식",2
"'라 트라비아타'를 작곡한 사람은?","도니체티","푸치니","로시니","베르디",4,"예술",3
"야구에서 투수가 던진 공을 타자가 못 치고 지나가면?","스트라이크","볼","파울","홈런",1,"스포츠",1
"유럽과 아시아의 경계가 되는 산맥은?","우랄산맥","카프카스","피레네","알프스",1,"지리",1
"소화 과정에서 위에서 분비되는 강한 산성 물질은?","담즙","인슐린","침","위산",4,"과학",1
"조선시대 과거 시험에서 가장 높은 등급인 문과의 최종 시험은?","향시","초시","회시","전시",4,"역사",1
"'무기여 잘 있거라'를 쓴 작가는?","포크너","레마르크","스타인벡","헤밍웨이",4,"문학",3
"정사각형의 대각선은 몇 개인가?","2개","1개","3개","4개",1,"수학",1
"우리나라에서 가장 큰 규모의 궁궐은?","창덕궁","창경궁","경복궁","덕수궁",3,"상식",2
"'봄' '여름' '가을' '겨울'로 구성된 협주곡 '사계'의 형식은?","협주곡","교향곡","소나타","오페라",1,"예술",2
"레슬링에서 상대의 두 어깨를 바닥에 붙여 이기는 것은?","폴","테크니컬","포인트","패시브",1,"스포츠",3
